OID,STREET_COD,STREET_NAM,NEIGH
704,1181,נדב יצחק,רמת שאול
705,855,נהון יצחק,הדר
706,541,נהלל,בת גלים
707,678,נוגה,כרמליה
708,1145,נוה גנים, 
709,2676,נוי,עיר תחתית
710,951,נועה,"יל""ג"
711,2677,נועם,עיר תחתית
712,885,נורדאו,הדר
713,790,נורווגיה,הוד הכרמל
714,1176,נורית,ורדיה
715,1250,נחל הגיבורים,עיר תחתית
716,542,נחליאלי,בת גלים
717,1113,נחמיאס יוסף,נוה שאנן
718,1027,נחמיה,נוה שאנן
719,665,נחשון,אחוזה
720,280,ניוטון אייזיק,מפרץ חיפה
722,1090,ניסנבוים,יזרעאליה
723,716,ניצנים,כרמל מרכזי
724,1018,נמרי דוד,נוה פז
726,681,נעמי,כרמליה
974,1386,נעמי שמר,גבעת זמר
725,1162,נעמת,כרמל
727,964,נתיב אליעזר,רמת ויז'ניץ
728,1204,נתיב האור,חוף הכרמל
731,442,נתיב המפרץ,מפרץ חיפה
729,156,נתיב העולים,0
730,1019,נתיב חן,נוה שאנן
732,444,נתנזון,"קריית הממשלה ע""ש רבין"
733,714,סגליות,כרמל מרכזי
734,106,סה,קריית חיים מערבית
735,584,סוטין חיים,0
736,724,סוכות,רמת התשבי
737,916,סולד הנרייטה,כרמל מרכזי
738,881,סוקולוב,הדר
739,977,סורוקה,רמת בגין
740,564,סחרוב אנדרה,"מת""מ"
741,801,סטלה מריס,ציר מושבה גרמנית - רמת שאול
742,581,סטרומה,קריית שפרינצק
743,1467,סייפן,רמת אלמוגי
744,1074,סילבר אבא הלל,יזרעאליה
745,623,סיני,אחוזה
746,875,סירקין,הדר
747,1393,סכנין אברהם,רמת אלון
748,1007,סלומון יעקב,נוה שאנן
749,358,סליזיאן,עיר תחתית
750,247,סלמאן,א.ת. חוף שמן
751,1217,סלעית,רמת אלמוגי
752,713,סמדר,כרמל מרכזי
753,609,סמולנסקין,אחוזה
754,9906,סמטת אל עתיקה,אל עתיקה
755,868,סמטת הנביאים,הדר
756,368,סמטת עזה,עיר תחתית
757,835,סמטת שמואל,הדר
758,1165,סנה משה,הוד הכרמל
759,410,סנט לוקס,ואדי ניסנאס
760,914,סנש חנה,רמת הדר
761,598,סעדיה גאון,קריית שפרינצק
762,1232,ספיר,מפרץ חיפה
763,712,ספרון,כרמל מרכזי
764,1221,סתוונית,רמת אלמוגי
765,802,עבאס,הדר
766,339,עגלון,ואדי סאליב
767,585,עגנון שי,קריית אליעזר
768,516,עדה,קרית אליעזר
769,739,עדולם,כרמל צרפתי
770,729,עובדיה,רמת התשבי
771,695,עודה נדה,כבאביר
772,560,עוזיהו המלך,נוה דוד
773,866,עומר אל כיאם,הדר
774,325,עומר אל כתאב,ואדי סאליב
775,1011,עוספיה,חליסה
776,1259,עופרה חזה,גבעת זמר
449,1240,עזר ויצמן,"מרכז הקונגרסים, נאות פרס"
777,1354,עזרא,נוה שאנן
778,722,עין גדי,כרמל
779,357,עין דור,עיר תחתית
780,1137,עירם צילה,חליסה
781,436,עליית הנוער,בת גלים
782,860,עמוס,הדר
784,1100,עמיקם ישראל,כבאביר
785,1245,עמירם חרלף,רמת אלמוגי
786,518,עמל,קריית אליעזר
787,844,עמק הזיתים,הדר
788,1233,ענבר,מפרץ חיפה
789,737,ענתות,כרמל צרפתי
790,361,עספור,עיר תחתית
791,587,"עפרון ד""ר",בת גלים
792,879,עקרון,הדר
793,1080,ערד,נוה יוסף
794,119,עשת אביגדור,קריית חיים מערבית
795,871,עתלית,הדר
796,1014,פאר,תל עמל
797,897,פבזנר,הדר
798,178,פולד ברכה,קריית חיים מזרחית
799,808,פועה,הדר
800,475,פורטונה עמנואל,מפרץ חיפה
801,982,פז סעדיה,שער העליה
802,1203,פטל,רוממה
803,352,פטריה,עיר תחתית
804,1052,פיארברג,זיו
805,769,פייגין צבי,כרמל מרכזי
806,1107,"פייזר ד""ר",יזרעאליה
807,310,פייצל,עיר תחתית
808,1081,פיכמן יעקב,רמות רמז
809,792,פינלנד,הוד הכרמל
810,651,פינסקי דוד,כרמל מרכזי
811,1032,פינסקר,"נוה שאנן, זיו"
812,854,פינת בן יהודה,הדר
813,843,פינת בן שמן,הדר
814,568,פינת גן,בת גלים
815,942,פינת הרצל,"יל""ג"
816,876,פינת שפירא,הדר
817,621,"פיק""א",רכס כרמל - רוממה
818,229,פישמן עדה (מיימון),קריית חיים מזרחית
819,767,פלג פרנק,הוד הכרמל
820,314,"פלי""ם","קריית הממשלה ע""ש רבין"
821,974,פלימן משה,"ציר חוף כרמל - מת""מ"
822,375,פליק,עיר תחתית
823,632,"פלמ""ח",רוממה
825,381,פקדון,עיר תחתית
826,1053,פרוג,זיו
827,614,פרויד,ציר רכס כרמל - רמת אשכול
828,1508,פרומר דב,קריית שמואל
829,898,פרישמן,הדר
830,284,פרנץ לוי,מפרץ חיפה
831,1248,פרץ אטקס,נאות פרס
832,394,פרץ י ל,ואדי ניסנאס
833,1097,פרץ מרקיש,יזרעאליה
834,1152,צ'רניאבסקי אהרון,יזרעאליה
835,459,צביה ויצחק,חוף הכרמל
836,1175,צבעוני,ורדיה
837,765,צבר,רמת בן גוריון
838,674,צדקיהו,כרמליה
839,509,"צה""ל",קרית אליעזר
840,389,צהיון,ואדי ניסנאס
841,1411,צופית,רמת חן
842,396,צור,ואדי ניסנאס
843,861,צידון,הדר
844,1026,ציון,נוה שאנן
845,172,ציזלינג אהרון,קריית חיים מזרחית
846,190,צייזל ירוחם,עיר תחתית מזרח
847,262,צייטלין אהרון,קריית חיים מזרחית
848,851,ציפורי,הדר
849,180,ציפר,קריית חיים מזרחית
850,562,ציקלג,נוה דוד
851,759,צלמונה,א.ת. חוף שמן
852,1123,צפורה זייד,הדר
853,654,צפרירים,כרמליה
854,841,צפת,הדר
855,554,צרפת,ציר רמת שאול - ק. שפרינצק
856,597,קאודרס בן ציון דר,רמת שאול
857,301,קבוץ גלויות,עיר תחתית מזרח
858,440,קדושי בגדד,עיר תחתית
859,588,קדושי דמשק,קריית אליעזר
860,256,קדושי השואה,קריית שמואל
861,460,קדושי יאסי,חוף הכרמל
862,684,קדימה,כרמל מרכזי
863,1385,קדיש לוז,רמת ספיר
864,672,קדרון,אחוזה
865,371,קהילת סלוניקי,עיר תחתית
866,992,קויפמן יחזקאל פרופ',רמת גולדה
867,254,קול מבשר,קריית שמואל
868,1044,קומוי נתן,רמות רמז
869,1460,קוסטה ריקה,הוד הכרמל
870,1220,קורנית,רמת אלמוגי
871,771,קורצאק יאנוש,אחוזה
872,1398,קושניר יוסף,רמת אלון
873,372,קיזרמן נתן,עיר תחתית
874,391,קיסריה,ואדי ניסנאס
875,915,קיש,כרמל מרכזי
876,531,קלח,בת גלים
877,1095,קליבנוב,יזרעאליה
878,1047,קלישר הרב,זיו
879,650,קלר,כרמל מרכזי
880,1102,קניאל יהושע הרב,מעונות גאולה
881,907,קניג פייר גנרל,"עין הים, קריית שפרינצק"
882,1190,קסטרא,חוף הכרמל
883,848,קסל,הדר
884,1156,קפטן סטיב,עיר תחתית
885,184,קפלן אלישבע,קריית חיים מזרחית
887,269,קצנשטיין אריה,מפרץ חיפה
888,452,קריב אברהם,רמת בגין
522,6706,קרית הטכניון,קריית הטכניון
889,627,קרית ספר,אחוזה
890,798,קרן היסוד,רוממה
891,170,קרן קיימת לישראל,קריית חיים מזרחית
892,125,"קרפל ד""ר",קריית חיים מערבית
893,1215,קשטן מיכאל,סביוני הכרמל
894,387,ראהבת,ואדי ניסנאס
895,1083,ראם פנחס,זיו
896,1128,ראש מיא,ציר ורדיה - דרך רופין
897,949,ראש פינה,"יל""ג"
87,996,רב אלוף דוד אלעזר,חוף הכרמל
898,891,רבוה,כבאביר
899,580,רבי יהודה הנשיא,נוה דוד
900,225,רבי יוחנן הסנדלר,מפרץ חיפה
901,918,רבי עקיבא,הדר
902,1159,"רבין אסתר ד""ר",הוד הכרמל
903,735,רבנו תם,רמת שאול
904,416,"רד""ק",המושבה הגרמנית
905,374,רובין,עיר תחתית
906,482,רובינא חנה,רמת גולדה
907,1164,רובינשטיין יצחק הרב,הוד הכרמל
908,473,רודיק שמעון,"עיר תחתית מזרח, ואדי סאליב"
909,557,רודן,קריית שפרינצק
910,462,רודנר עקיבא הרב,קריית אליהו
911,297,רוזוב שמואל,מפרץ חיפה
912,451,רוזן פנחס,רמת גולדה
913,1192,רוטנברג פנחס ואברהם,חוף הכרמל
914,505,רוטשילד,"קריית אליהו, קריית אליעזר"
915,662,רופין,ציר רוממה - הדר
916,676,רות,כרמליה
917,1057,רות הכהן,זיו
918,1006,רזיאל דוד,תל עמל
919,669,רחל,כרמליה
920,525,רחף,בת גלים
921,1091,רטנר יוחנן פרופ',יזרעאליה
922,140,ריינס הרב,קריית שמואל
923,710,רימונים,כרמל מרכזי
924,445,"רינ""ה",קריית אליהו
925,909,"רמב""ן",הדר
926,620,"רנ""ק",אחוזה
927,694,רענן,כבאביר
928,910,"רש""י",הדר
929,493,שאגאל מרק,רמת אשכול
930,1028,שאול,נוה שאנן
931,578,שאול המלך,נוה דוד
932,237,שאר ישוב,קריית חיים מערבית
933,978,שארית הפליטה,הוד הכרמל
934,773,שבדיה,הוד הכרמל
935,1118,שבזי שלום,נוה פז
936,173,שבטי ישראל,קריית חיים מזרחית
937,174,שבעת המינים,קריית שמואל
938,403,שבתאי לוי,ואדי ניסנאס
939,222,"שד""ר",קריית שמואל
940,109,שדה בוקר,קריית חיים מערבית
941,1270,שדרות הלוטם,יצחק נבון
942,954,שוהם,כרמל
943,490,"שוויצר אלברט ד""ר",רמת אשכול
945,725,שומרון,רמת התשבי
946,566,שונית,רמת הנשיא
947,728,שונמית,רמת התשבי
948,989,שופמן גרשון,הוד הכרמל
949,317,שוקרי,ואדי סאליב
950,1263,שושנה דמרי,גבעת זמר
951,702,שושנת הכרמל,כרמל מערבי
952,453,"שז""ר זלמן",רמת בן גוריון
953,1166,שחאדה שלח,ואדי ניסנאס
954,1226,שחם,רמת אלמוגי
955,219,שטיין ליאון,מפרץ חיפה
956,970,שטרן יאיר,עין הים
957,257,שטרן יוסף,קריית שמואל
958,337,שיבת ציון,ציר ואדי סאליב - עיר תחתית
959,236,שיטרית בכור,קריית חיים מזרחית
960,872,"שימקין ד""ר",רמת בגין
961,1068,שינדלר אוסקר,סביוני הכרמל
962,631,"שכטר יוסף ד""ר",אחוזה
963,1069,"של""ג",זיו
964,1254,שלהוף ג'מיל,הדר
965,1048,שלום עליכם,זיו
966,590,שלומציון המלכה,כרמליה
967,1395,שלון,רמת אלון
968,781,שלונסקי,הוד הכרמל
969,466,"שלוסברג שמואל ד""ר",שער העליה
970,561,שלמה המלך,נוה דוד
971,827,שמאי,הדר
972,828,שמואל,הדר
973,1070,שמעוני לייב,נוה שאנן
975,847,שמריהו לוין,הדר
976,877,שמש,הדר
977,634,שמשון,כרמל מרכזי
978,1059,שניאור זלמן,רמות רמז
979,900,שנים בנובמבר,כרמל צרפתי
980,199,שנקר אריה,מפרץ חיפה
981,700,שער הגיא,אחוזה
982,641,שער הלבנון,כרמל מרכזי
983,1085,שער פלמר,עיר תחתית
984,821,שפינוזה,הדר
985,874,שפירא,הדר
986,807,שפרה,הדר
987,852,שפרעם,הדר
988,764,שקמה,רמת בן גוריון
989,547,שקמונה,בת גלים
990,356,שרה,עיר תחתית
991,1129,שרעבי שלום רבי,נוה פז
992,162,שרת משה,קריית חיים מזרחית
993,166,ששת הימים,קריית חיים מזרחית
994,463,"תאד""ל",אחוזה
995,1174,תאשור,ורדיה
996,1173,תדהר,ורדיה
997,193,תובל,מפרץ חיפה
998,1143,תומא אמיל,ואדי ניסנאס
518,583,תופיק טובי,ואדי ניסנאס
999,146,תורה ועבודה,קריית שמואל
1000,506,תל אביב,קריית אליהו
1001,901,תל חי,הדר
1002,616,תל מאנה,אחוזה
1003,1078,תענך,נוה יוסף
1004,139,"תרי""ג",קריית שמואל
1005,298,תרשיש,א.ת. חוף שמן
